HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Entrez Gene ID	RefSeq IDs	Gene Family Name
HGNC:5	A1BG			1	NM_130786	Immunoglobulin like domain containing
HGNC:37133	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	503538	NR_015380	
HGNC:24086	A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	29974	NM_014576	RNA binding motif containing
HGNC:6	A1S9T~withdrawn					
HGNC:7	A2M		FWP007, S863-7, CPAMD5	2	NM_000014	C3 and PZP like, alpha-2-macroglobulin domain containing
HGNC:27057	A2M-AS1			144571	NR_026971	
HGNC:23336	A2ML1	CPAMD9	FLJ25179, p170	144568	NM_144670	C3 and PZP like, alpha-2-macroglobulin domain containing
HGNC:41022	A2ML1-AS1					
HGNC:41523	A2ML1-AS2					
HGNC:8	A2MP1	A2MP		3	NG_001067	
HGNC:9	A2MR~withdrawn					
HGNC:10	A2MRAP~withdrawn					
HGNC:30005	A3GALT2	A3GALT2P	IGBS3S, IGB3S	127550	NM_001080438	Glycosyltransferase family 6
HGNC:18149	A4GALT	P1	A14GALT, Gb3S, P(k)	53947	NM_017436	Alpha 1,4-glycosyltransferases|Blood group antigens
HGNC:17968	A4GNT		alpha4GnT	51146	NM_016161	Alpha 1,4-glycosyltransferases
HGNC:1	A12M1~withdrawn					
HGNC:2	A12M2~withdrawn					
HGNC:3	A12M3~withdrawn					
HGNC:4	A12M4~withdrawn					
HGNC:11	AA~withdrawn					
HGNC:13666	AAAS			8086		WD repeat domain containing|Nucleoporins
HGNC:12	AABT~withdrawn					
HGNC:13	AAC1~withdrawn					
HGNC:14	AAC2~withdrawn					
HGNC:21298	AACS		FLJ12389, SUR-5, ACSF1	65985	NM_023928	Acyl-CoA synthetase family
HGNC:18226	AACSP1	AACSL		729522	NR_024035	
HGNC:13792	AACT~withdrawn					
HGNC:17	AADAC		DAC, CES5A1	13	NM_001086	Arylacetamide deacetylase family|Lipases
HGNC:24427	AADACL2		MGC72001	344752	NM_207365	Arylacetamide deacetylase family
HGNC:50301	AADACL2-AS1			101928142		
HGNC:32037	AADACL3		OTTHUMG00000001887	126767	NM_001103170	Arylacetamide deacetylase family
HGNC:32038	AADACL4		OTTHUMG00000001889	343066	NM_001013630	Arylacetamide deacetylase family
HGNC:50305	AADACP1			201651		
HGNC:17929	AADAT		KATII, KAT2, KYAT2	51166	NM_016228	
HGNC:16881	AAED1	C9orf21		195827	NM_153698	
HGNC:25662	AAGAB		FLJ11506, p34	79719	NM_024666	
HGNC:19679	AAK1		KIAA1048, DKFZp686K16132	22848	NM_014911	
HGNC:30205	AAMDC	C11orf67	PTD015, FLJ21035, CK067	28971	NM_024684	
HGNC:18	AAMP			14	NM_001087	WD repeat domain containing
HGNC:19	AANAT		SNAT	15	NM_001088	GCN5 related N-acetyltransferases
HGNC:15886	AAR2	C20orf4	bA234K24.2	25980	NM_015511	
HGNC:33842	AARD	C8orf85	LOC441376	441376	NM_001025357	
HGNC:20	AARS		CMT2N, AlaRS	16	NM_001605	Aminoacyl tRNA synthetases, Class II
HGNC:21022	AARS2	AARSL	KIAA1270, bA444E17.1	57505	NM_020745	Aminoacyl tRNA synthetases, Class II
HGNC:28417	AARSD1		MGC2744	80755	NM_001261434	
HGNC:49894	AARSP1					
HGNC:23993	AASDH		NRPS998, LYS2, ACSF4	132949	NM_181806	Acyl-CoA synthetase family
HGNC:14235	AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS	60496	NM_015423	
HGNC:17366	AASS		LORSDH, LKRSDH	10157	NM_005763	
HGNC:51526	AATBC			284837	NR_026961	Long non-coding RNAs
HGNC:19235	AATF		DED, CHE-1, CHE1, BFR2	26574	NM_012138	
HGNC:21	AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	9625	NM_004920	Protein phosphatase 1 regulatory subunits|Receptor Tyrosine Kinases
HGNC:22	AAVS1		AAV	17		
HGNC:49667	ABALON		INXS	103021294	NR_131907	Long non-coding RNAs
HGNC:23	ABAT		GABAT	18	NM_020686	
HGNC:24	ABC1~withdrawn					
HGNC:25	ABC2~withdrawn					
HGNC:26	ABC3~withdrawn					
HGNC:28	ABC7~withdrawn					
HGNC:27	ABC50~withdrawn					
HGNC:29	ABCA1	ABC1, HDLDT1	TGD	19	NM_005502	ATP binding cassette subfamily A
HGNC:32	ABCA2	ABC2		20	NM_001606	ATP binding cassette subfamily A
HGNC:33	ABCA3	ABC3	ABC-C, EST111653, LBM180	21	NM_001089	ATP binding cassette subfamily A
HGNC:34	ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	24	NM_000350	ATP binding cassette subfamily A
HGNC:35	ABCA5		EST90625	23461	NM_018672	ATP binding cassette subfamily A
HGNC:36	ABCA6		EST155051	23460	NM_080284	ATP binding cassette subfamily A
HGNC:37	ABCA7		ABCX	10347	NM_019112	ATP binding cassette subfamily A
HGNC:38	ABCA8		KIAA0822	10351	NM_007168	ATP binding cassette subfamily A
HGNC:39	ABCA9		EST640918	10350	NM_172386	ATP binding cassette subfamily A
HGNC:39983	ABCA9-AS1					
HGNC:30	ABCA10		EST698739	10349	NM_080282	ATP binding cassette subfamily A
HGNC:31	ABCA11P	ABCA11	EST1133530, FLJ14297	79963	NR_002451.2	ATP binding cassette subfamily A
HGNC:14637	ABCA12	ICR2B	DKFZP434G232, LI2	26154	NM_173076	ATP binding cassette subfamily A
HGNC:14638	ABCA13		FLJ33876, FLJ33951	154664	NM_152701	ATP binding cassette subfamily A
HGNC:32972	ABCA17P			650655	NR_003574	ATP binding cassette subfamily A
HGNC:40	ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	5243	NM_000927	CD molecules|ATP binding cassette subfamily B
HGNC:11563	ABCB2~withdrawn					
HGNC:11564	ABCB3~withdrawn					
HGNC:45	ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	5244	NM_000443	ATP binding cassette subfamily B
HGNC:46	ABCB5		EST422562, ABCB5beta, ABCB5alpha	340273	NM_178559	ATP binding cassette subfamily B
HGNC:47	ABCB6		EST45597, umat, MTABC3	10058	NM_005689	ATP binding cassette subfamily B|Blood group antigens
HGNC:48	ABCB7	ABC7	EST140535, Atm1p, ASAT	22	NM_004299	ATP binding cassette subfamily B
HGNC:49	ABCB8		EST328128, M-ABC1, MABC1	11194	NM_007188	ATP binding cassette subfamily B
HGNC:50	ABCB9		EST122234	23457	NM_019624	ATP binding cassette subfamily B
HGNC:41	ABCB10		EST20237, M-ABC2, MTABC2	23456	NM_012089	ATP binding cassette subfamily B
HGNC:14114	ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	56476		
HGNC:31128	ABCB10P2~withdrawn					
HGNC:31129	ABCB10P3			728248		
HGNC:31130	ABCB10P4			100132289		
HGNC:42	ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	8647	NM_003742	ATP binding cassette subfamily B
HGNC:51	ABCC1	MRP, MRP1	GS-X	4363	NM_004996	ATP binding cassette subfamily C
HGNC:53	ABCC2	CMOAT	DJS, MRP2, cMRP	1244	NM_000392	ATP binding cassette subfamily C
HGNC:54	ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	8714	NM_020038	ATP binding cassette subfamily C
HGNC:55	ABCC4		MRP4, EST170205, MOAT-B, MOATB	10257	NM_005845	ATP binding cassette subfamily C
HGNC:56	ABCC5		MRP5, SMRP, EST277145, MOAT-C	10057	NM_005688	ATP binding cassette subfamily C
HGNC:40055	ABCC5-AS1					
HGNC:57	ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	368		ATP binding cassette subfamily C
HGNC:33352	ABCC6P1			653190	NR_003569	Transcribed pseudogenes with published function
HGNC:33353	ABCC6P2			730013	NR_023387	
HGNC:58	ABCC7~withdrawn					
HGNC:59	ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	6833	NM_000352	ATP binding cassette subfamily C
HGNC:60	ABCC9		SUR2, CMD1O	10060	NM_005691	ATP binding cassette subfamily C
HGNC:52	ABCC10		EST182763, MRP7, SIMRP7	89845	NM_033450	ATP binding cassette subfamily C
HGNC:14639	ABCC11		MRP8	85320	NM_032583	ATP binding cassette subfamily C
HGNC:14640	ABCC12		MRP9	94160	NM_033226	ATP binding cassette subfamily C
HGNC:16022	ABCC13		PRED6, C21orf73, ABCC13P	150000		ATP binding cassette subfamily C
HGNC:61	ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	215	NM_000033	ATP binding cassette subfamily D
HGNC:62	ABCD1P1			23785		
HGNC:63	ABCD1P2		bA453N3.6	26983		
HGNC:64	ABCD1P3			26982		
HGNC:65	ABCD1P4			26957		
HGNC:42662	ABCD1P5			642762		
HGNC:66	ABCD2	ALDL1	ALDR, ALDRP	225	NM_005164	ATP binding cassette subfamily D
HGNC:67	ABCD3	PXMP1	PMP70, ZWS2	5825	NM_002858	ATP binding cassette subfamily D|GOLD domain containing
HGNC:68	ABCD4	PXMP1L	PMP69, P70R, EST352188	5826	NM_005050	ATP binding cassette subfamily D
HGNC:69	ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	6059	NM_002940	ATP binding cassette subfamily E
HGNC:70	ABCF1	ABC50	EST123147	23		ATP binding cassette subfamily F
HGNC:53628	ABCF1-DT			107986587		
HGNC:71	ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	10061	NM_005692	ATP binding cassette subfamily F
HGNC:48841	ABCF2P1			344653		
HGNC:48842	ABCF2P2			100422059		
HGNC:72	ABCF3		EST201864	55324	NM_018358	ATP binding cassette subfamily F
HGNC:73	ABCG1		ABC8	9619	NM_207174	ATP binding cassette subfamily G
HGNC:74	ABCG2		EST157481, MXR, BCRP, ABCP, CD338	9429	NM_004827	CD molecules|ATP binding cassette subfamily G|Blood group antigens
HGNC:13884	ABCG4		WHITE2	64137	NM_022169	ATP binding cassette subfamily G
